term,example
stfu,"In the bus seat behind me, somebody whispered, ""stfu, my phone died again."""
stfu,"The group chat lit up with, ""stfu, not right before the deadline."""
stfu,"In a movie-scene kind of beat, he drops his bag and goes, ""stfu."""
stfu,"The caption just said, ""stfu, this day is cursed."""
gtfo,"A kid looked at the broken project and said, ""gtfo, we have to start over."""
gtfo,"In the bus seat behind me, somebody whispered, ""gtfo, my phone died again."""
gtfo,"The group chat lit up with, ""gtfo, not right before the deadline."""
gtfo,"In a movie-scene kind of beat, he drops his bag and goes, ""gtfo."""
gtfo,"The caption just said, ""gtfo, this day is cursed."""
oml,"In the group chat somebody typed, ""oml,"" and five people answered at once."
oml,"At the lunch table one friend said, ""oml,"" and everybody knew what she meant."
oml,"The caption under the selfie was just, ""oml,"" with three laughing emojis."
oml,"In a movie-scene kind of exchange, one kid leans over and goes, ""oml."""
oml,"Walking out of class, I heard someone say, ""oml,"" like the whole thing was obvious."
omg,"In the group chat somebody typed, ""omg,"" and five people answered at once."
omg,"At the lunch table one friend said, ""omg,"" and everybody knew what she meant."
omg,"The caption under the selfie was just, ""omg,"" with three laughing emojis."
omg,"In a movie-scene kind of exchange, one kid leans over and goes, ""omg."""
omg,"Walking out of class, I heard someone say, ""omg,"" like the whole thing was obvious."
frfr,"In the group chat somebody typed, ""frfr,"" and five people answered at once."
frfr,"At the lunch table one friend said, ""frfr,"" and everybody knew what she meant."
frfr,"The caption under the selfie was just, ""frfr,"" with three laughing emojis."
frfr,"In a movie-scene kind of exchange, one kid leans over and goes, ""frfr."""
frfr,"Walking out of class, I heard someone say, ""frfr,"" like the whole thing was obvious."
deadass,"A kid looked at the broken project and said, ""deadass, we have to start over."""
deadass,"In the bus seat behind me, somebody whispered, ""deadass, my phone died again."""
deadass,"The group chat lit up with, ""deadass, not right before the deadline."""
deadass,"In a movie-scene kind of beat, he drops his bag and goes, ""deadass."""
deadass,"The caption just said, ""deadass, this day is cursed."""
type shi,"In the group chat somebody typed, ""type shi,"" and five people answered at once."
type shi,"At the lunch table one friend said, ""type shi,"" and everybody knew what she meant."
type shi,"The caption under the selfie was just, ""type shi,"" with three laughing emojis."
type shi,"In a movie-scene kind of exchange, one kid leans over and goes, ""type shi."""
type shi,"Walking out of class, I heard someone say, ""type shi,"" like the whole thing was obvious."
type shit,"A kid looked at the broken project and said, ""type shit, we have to start over."""
type shit,"In the bus seat behind me, somebody whispered, ""type shit, my phone died again."""
type shit,"The group chat lit up with, ""type shit, not right before the deadline."""
type shit,"In a movie-scene kind of beat, he drops his bag and goes, ""type shit."""
type shit,"The caption just said, ""type shit, this day is cursed."""
big yikes,"At the lunch table somebody went, ""big yikes? Yeah, that is exactly what he is."""
big yikes,"In the group chat one kid replied, ""big yikes, just log off already."""
big yikes,"The hallway argument ended with, ""Be quiet, big yikes."""
big yikes,"In the script-style exchange, one friend mutters, ""big yikes,"" and walks away."
big yikes,"A caption under the video read, ""Whole comment section acting big yikes today."""
yikes,"At the lunch table somebody went, ""yikes? Yeah, that is exactly what he is."""
yikes,"In the group chat one kid replied, ""yikes, just log off already."""
yikes,"The hallway argument ended with, ""Be quiet, yikes."""
yikes,"In the script-style exchange, one friend mutters, ""yikes,"" and walks away."
yikes,"A caption under the video read, ""Whole comment section acting yikes today."""
nah fam,"In the group chat somebody typed, ""nah fam,"" and five people answered at once."
nah fam,"At the lunch table one friend said, ""nah fam,"" and everybody knew what she meant."
nah fam,"The caption under the selfie was just, ""nah fam,"" with three laughing emojis."
nah fam,"In a movie-scene kind of exchange, one kid leans over and goes, ""nah fam."""
nah fam,"Walking out of class, I heard someone say, ""nah fam,"" like the whole thing was obvious."
fr tho,"In the group chat somebody typed, ""fr tho,"" and five people answered at once."
fr tho,"At the lunch table one friend said, ""fr tho,"" and everybody knew what she meant."
fr tho,"The caption under the selfie was just, ""fr tho,"" with three laughing emojis."
fr tho,"In a movie-scene kind of exchange, one kid leans over and goes, ""fr tho."""
fr tho,"Walking out of class, I heard someone say, ""fr tho,"" like the whole thing was obvious."
not gonna hold you,"In the group chat somebody typed, ""not gonna hold you,"" and five people answered at once."
not gonna hold you,"At the lunch table one friend said, ""not gonna hold you,"" and everybody knew what she meant."
not gonna hold you,"The caption under the selfie was just, ""not gonna hold you,"" with three laughing emojis."
not gonna hold you,"In a movie-scene kind of exchange, one kid leans over and goes, ""not gonna hold you."""
not gonna hold you,"Walking out of class, I heard someone say, ""not gonna hold you,"" like the whole thing was obvious."
ion know,"In the group chat somebody typed, ""ion know,"" and five people answered at once."
ion know,"At the lunch table one friend said, ""ion know,"" and everybody knew what she meant."
ion know,"The caption under the selfie was just, ""ion know,"" with three laughing emojis."
ion know,"In a movie-scene kind of exchange, one kid leans over and goes, ""ion know."""
ion know,"Walking out of class, I heard someone say, ""ion know,"" like the whole thing was obvious."
ion care,"At the lunch table somebody went, ""ion care? Yeah, that is exactly what he is."""
ion care,"In the group chat one kid replied, ""ion care, just log off already."""
ion care,"The hallway argument ended with, ""Be quiet, ion care."""
ion care,"In the script-style exchange, one friend mutters, ""ion care,"" and walks away."
ion care,"A caption under the video read, ""Whole comment section acting ion care today."""
tf,"A kid looked at the broken project and said, ""tf, we have to start over."""
tf,"In the bus seat behind me, somebody whispered, ""tf, my phone died again."""
tf,"The group chat lit up with, ""tf, not right before the deadline."""
tf,"In a movie-scene kind of beat, he drops his bag and goes, ""tf."""
tf,"The caption just said, ""tf, this day is cursed."""
wtv,"In the group chat somebody typed, ""wtv,"" and five people answered at once."
wtv,"At the lunch table one friend said, ""wtv,"" and everybody knew what she meant."
wtv,"The caption under the selfie was just, ""wtv,"" with three laughing emojis."
wtv,"In a movie-scene kind of exchange, one kid leans over and goes, ""wtv."""
wtv,"Walking out of class, I heard someone say, ""wtv,"" like the whole thing was obvious."
whatever bro,"At the lunch table somebody went, ""whatever bro? Yeah, that is exactly what he is."""
whatever bro,"In the group chat one kid replied, ""whatever bro, just log off already."""
